,title,rating,cook_time,calories,sodium,fat,protein,carbs,fiber,personal_rating,ingredients,links
141,Keto Casserole With Ground Beef & Broccoli,4.5,55,320.0,1700.0,19.0,18.0,21.0,6.0,"[['MarandA', 5], ['Aya Halim', 5], ['Nathalie Cote', 5], ['Anthony Ross', 5], ['Annette Fetherling', 4], ['Rachel M', 5], ['Courtney Sabo', 5], ['Jody Weaver', 5], ['Nestora Hines', 5], ['PassionateCulinaire', 5], ['Mel', 5], ['Chairman', 5], ['Jess', 3], ['Anna M.', 5], ['Angela S.', 4], ['Phayth Aklandd', 4], ['Alex O', 5], ['Jess', 5], ['Teresa', 5], ['Dawn Taylor', 4], ['MG', 5], ['Veronica', 5], ['Cully', 4], ['wiggins', 4], ['Fiona Baldwin', 4], ['Teresa L.', 5], [""Sherri O'Neill"", 1], ['FlavorfulHomeCook', 4], ['Gina Marie', 4], ['Timothy Fritts', 3]]","[['16', 'ounces', 'extra lean ground beef'], ['14', 'ounces', 'tomato sauce'], ['12', 'ounces', 'broccoli florets'], ['6', 'ounces', 'shredded cheddar cheese'], ['1', 'ounce', 'grated Parmesan cheese'], ['1', 'stalk', 'celery'], ['1 1/2', 'teaspoons', 'salt'], ['1', 'teaspoon', 'garlic powder'], ['1/4', 'teaspoon', 'ground cayenne']]",https://www.yummly.com/recipe/Keto-Casserole-With-Ground-Beef-_-Broccoli-2666080
142,Awesome Bacon And Potato Egg Casserole,4.5,55,350.0,700.0,25.0,15.0,16.0,1.0,"[['Davey', 4], ['Nolan', 5], ['Sara B.', 3], ['Falon Richards', 5], ['jacob dolin', 5], ['Dudley Bourgeois', 3], ['Deb', 4], ['Melinda Fancsal', 5], ['Kerry Markley', 4], ['Mrs. Dee', 4], ['Beth Reece', 5], ['Ann Burch', 5], ['Raquel A.', 4], ['Isabella', 5], ['Kelly', 4]]","[['8', 'strips', 'bacon'], ['16', 'ounces', 'frozen hash brown potatoes'], ['12', None, 'eggs'], ['1/2', 'cup', 'whole milk'], ['1', 'teaspoon', 'salt'], ['1/4', 'teaspoon', 'black pepper'], ['6', 'ounces', 'shredded cheddar cheese']]",https://www.yummly.com/recipe/Awesome-Bacon-And-Potato-Egg-Casserole-9029554
143,Revolutionary Mac & Cheese,3.5,45,270.0,860.0,13.0,16.0,21.0,0.0,"[['Timothy Jenkins', 4], ['Angela H.', 1], ['Hello, Hudson', 5], ['Roslyn O.', 5], ['Kacie', 1], ['Andrea Parins', 5], ['Maddy', 3], ['Glide', 5], ['melissa baker', 1], ['Jacqui Henry-Lucio', 3], ['Tiffany Negus', 1], ['whipple', 2], ['Emma Danahy', 1], ['Samantha Andrews', 5], ['Emily W.', 5], ['Lila Willingham', 4], ['Catherine Swift', 3], ['Amanda Luna', 1], ['Tammi L.', 3], ['Thomas Bean', 4], ['Vaidas M.', 5], ['kirti', 5], ['Hooker', 3], ['Paul C.', 1], ['Chris Abrams', 5], ['Daria Lupton', 1], ['Yo', 4], ['Feeding Kids', 5], ['Quast', 5], ['Hello Alexa', 1]]","[['2', 'cups', 'dried pasta'], ['2', 'cups', 'milk'], ['1', 'cup', 'shredded cheddar cheese'], ['1', 'teaspoon', 'salt'], ['1', 'teaspoon', 'Dijon mustard']]",https://www.yummly.com/recipe/Revolutionary-Mac-_-Cheese-1048867
144,Parmesan Crusted Chicken,4.5,30,150.0,350.0,12.0,3.0,9.0,0.0,"[['Pat', 5], ['Jones', 4], ['Chelsi T.', 5], ['Lewis', 4], ['Jolee Sprague', 4], ['Phyllis', 5], ['Dennis Meadows', 4], ['sue butler', 5], ['Schwab', 5], ['MasterCulinaire', 5], ['Gareau', 4], ['DeWitt', 5], ['Foht', 4], ['FARROW', 5], ['D Long', 5], ['thechamp2585 .', 4], ['kisha', 3], ['Kelle', 5], ['Linda V.', 5], ['Tj Pickett', 5], ['Gimbrone', 5], ['Stacey S.', 5], ['Jenn', 5], ['Gillian', 4], ['Peter', 5], ['Jess', 3], ['Dennis', 5], ['Oliver', 5], ['Lena Gray', 5], ['Zhanna H.', 4]]","[['1/2', 'cup', ""hellmann's or best foods real mayonnaise""], ['1/4', 'cup', 'grated Parmesan cheese'], ['4', None, 'boneless skinless chicken breast halves'], ['4', 'teaspoons', 'italian seasoned dry bread crumbs']]",https://www.yummly.com/recipe/Parmesan-crusted-chicken-300048
145,Skillet Beef Stroganoff,3.0,25,290.0,125.0,20.0,23.0,5.0,1.0,"[['Grantham', 3], ['Jessica Agbolade', 3], ['Leon', 2], ['Janelle Francis', 4], ['Stormey Ware', 5], ['Melissa Revak R.', 4], ['Angelica S.', 4]]","[['1', 'pound', 'ground beef'], ['1', None, 'onion'], ['1', 'clove', 'garlic'], ['1 1/2', 'cups', 'water'], ['1/2', 'cup', 'milk'], ['1', 'tablespoon', ""i can't believe it's not butter! spread""], ['1', 'package', 'knorr pasta sides - stroganoff']]",https://www.yummly.com/recipe/Skillet-beef-stroganoff-300095
146,Breakfast Scramble Stuffed Avocado,5.0,15,410.0,600.0,34.0,19.0,12.0,8.0,"[['Morgan', 5], ['Pamela Gollahon Dunlap', 5], ['Margie', 5], ['phillip vallejos', 5], ['Jessica Kurtis', 5], ['Florianne Rivera', 5]]","[['2', 'tablespoons', 'unsalted butter'], ['2', 'ounces', 'Canadian bacon'], ['6', None, 'eggs'], ['2', 'ounces', 'white cheddar'], [None, None, 'salt'], [None, None, 'pepper'], ['2', None, 'avocados']]",https://www.yummly.com/recipe/Breakfast-Scramble-Stuffed-Avocado-9053961
147,The Easiest Honey Garlic Salmon,4.5,20,290.0,300.0,17.0,26.0,6.0,0.0,"[['Shooshane', 5], ['Karlee Close', 4], ['Jalani Lodge', 5], ['Summer Sterrenberg', 4], ['Eva Adamson', 5], ['Juan D.', 5], ['Stacy-Ann N.', 5], ['Korynn Najera', 5], ['Liana B.', 5], ['Janet Curcio', 5], ['GourmetFoodie', 5], ['Stephanie Mcalpin', 5], ['Alyssa Sheahan', 4], ['Rhonda V.', 5], ['Sophia W.', 5], ['Tanecia Powell', 4], ['Abby A.', 5], ['Lachlan', 5], ['Courtney Sabo', 5], ['Cienna Banwell', 4], ['Chelsea Brown', 5], ['Mary Kay', 5], ['Ben Fitts', 5], ['Johnelle Haglund', 5], ['Sandra DeBary', 4], ['Edwin Dalorzo', 5], ['Anne Marie H.', 3], ['Latham', 5], ['Katrina Sperry', 5], ['Jon Davies', 5]]","[['1', 'pound', 'salmon filet'], ['1', 'tablespoon', 'honey'], ['3', 'cloves', 'garlic'], [None, None, 'sea salt'], [None, None, 'cracked black pepper']]",https://www.yummly.com/recipe/The-Easiest-Honey-Garlic-Salmon-2386161
148,Chocolate-Mint Energy Bites,4.0,15,80.0,10.0,3.5,1.0,13.0,1.0,"[['Jessica Froula', 5], ['Dee', 5], ['Shawn Bean', 4], ['Ric C.', 5], ['Ruth', 2]]","[['1/2', 'cup', 'old-fashioned oats'], ['1 1/2', 'cups', 'medjool date'], ['1/2', 'cup', 'almond butter'], ['1', 'cup', '70% cacoa dark chocolate chips'], ['1/2', 'teaspoon', 'peppermint extract']]",https://www.yummly.com/recipe/Chocolate-Mint-Energy-Bites-2118063
149,Savory Shrimp Risotto,5.0,50,310.0,180.0,9.0,9.0,49.0,2.0,"[['Garratt', 5], ['Lisa Ries', 5], ['Jessica W.', 5], ['Meg', 5], ['Reecie Live', 5], ['César M.', 5]]","[['2', 'tablespoons', 'promise buttery spread'], ['1/2', 'pound', 'uncooked medium shrimp, peeled and deveined'], ['2', 'cloves', 'garlic'], ['1', None, 'red bell pepper, sliced'], ['1', None, 'sweet onion'], ['1', 'cup', 'arborio rice'], ['1/4', 'cup', 'dry white wine'], ['3', 'cups', 'chicken broth'], ['2', 'tablespoons', 'grated Parmesan cheese'], ['2', 'tablespoons', 'flat-leaf parsley']]",https://www.yummly.com/recipe/Savory-shrimp-risotto-304301
150,Easy Baked Sweet Potato Fries ,4.5,30,130.0,360.0,3.5,3.0,24.0,4.0,"[['Myers', 4], ['Pam Parrott', 3], ['Mickey Brasure', 4], ['Beatriz Parra', 5], ['Nathalie Green', 4], ['Ward', 5], ['Natalia', 5], ['Bob', 4], ['Lotus Blossom GaiaHecate', 5], ['Whitney', 5], ['Patty Odonkor', 5], ['Cox', 5], ['Ashley London-Ghegan', 5], ['Kristi McCracken', 5], ['Emily Castillo', 5], ['Jeff Wilding', 4], ['Urska Sajovic', 5], ['Ivo Nestorovski', 5], ['Nita', 5], ['Samuel Lobe', 4], ['wayfaring stranger', 5], ['Chase W Russell', 5], ['Alexa Murdock', 5], ['MarvelousChef', 4], ['Ryan C.', 5], ['Kellie R.', 4], ['Tanya B.', 5], ['Norma', 5], ['Rachel', 4], ['Christine Zalewski', 5]]","[['1', 'pound', 'sweet potatoes'], ['1', 'tablespoon', 'olive oil'], ['1/2', 'teaspoon', 'salt'], [None, None, 'black pepper']]",https://www.yummly.com/recipe/Easy-Baked-Sweet-Potato-Fries--9029468
